model,preprocessing,vectorization,n_features,device,cv_f1_macro,cv_time,train_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro
Logistic Regression,clean_aggressive,binarized,44735,CPU,0.4478368638809915,53.073155,14.313773,0.7231507529372828,0.4461887324204435,0.4779365894411571,0.4240735388120882
Linear SVC,clean_aggressive,binarized,44735,CPU,0.4138004790912726,8.238549,2.589989,0.6988250868773788,0.4243782015165328,0.44822983304831343,0.4070822419706085
Multinomial NB,clean_aggressive,binarized,44735,CPU,0.2795462665229057,0.069005,0.009194,0.6999834519278504,0.29677039354923235,0.4530269669286243,0.2936972389170386
Random Forest,clean_aggressive,binarized,44735,CPU,0.16415562283381374,1.150383,0.150984,0.6963428760549396,0.1642306566494292,0.13933774834437088,0.19995248277500594
Logistic Regression,clean_aggressive,frequency,44735,CPU,0.43445563864324904,52.838841,14.135162,0.7418500744663247,0.44985282738800264,0.5054042862062439,0.41975935114680574
Linear SVC,clean_aggressive,frequency,44735,CPU,0.4275710717794664,12.609447,3.636727,0.707430084395168,0.44781336668845223,0.47453471909445766,0.4286440097495559
Multinomial NB,clean_aggressive,frequency,44735,CPU,0.31438556772092374,0.063295,0.008448,0.707099122952176,0.3355725531335982,0.482828751464651,0.33475864288964424
Random Forest,clean_aggressive,frequency,44735,CPU,0.16466875958435917,1.319571,0.175262,0.6971702796624193,0.16600417964986047,0.28228722900691094,0.20081232800286494
Logistic Regression,clean_aggressive_stopwords,binarized,44478,CPU,0.4457913980911988,41.556224,10.685784,0.7180208505709085,0.4343517271282658,0.4646040085026666,0.4129255147969144
Linear SVC,clean_aggressive_stopwords,binarized,44478,CPU,0.4042626846962808,7.763111,2.003443,0.6958464338904518,0.4320715319061973,0.45878907848593986,0.4128386438423218
Multinomial NB,clean_aggressive_stopwords,binarized,44478,CPU,0.29551923772536504,0.051696,0.00658,0.7027966241932815,0.3154297008975341,0.48057109069960974,0.30975492214621614
Random Forest,clean_aggressive_stopwords,binarized,44478,CPU,0.16469210580938687,-0.330492,0.149958,0.6966738374979314,0.16458127796433236,0.3393247269116187,0.2001719690455718
Logistic Regression,clean_aggressive_stopwords,frequency,44478,CPU,0.4551502460708378,41.766788,10.650482,0.7367201720999503,0.4852661256251327,0.5301764739189821,0.4551229818820849
Linear SVC,clean_aggressive_stopwords,frequency,44478,CPU,0.41555611476412835,7.524626,1.995333,0.7027966241932815,0.45124637903406767,0.4784544872894559,0.4313866220678527
Multinomial NB,clean_aggressive_stopwords,frequency,44478,CPU,0.3240340314787443,0.054349,0.007768,0.7051133542942247,0.33499972340822454,0.5005130721742915,0.3284131666959447
Random Forest,clean_aggressive_stopwords,frequency,44478,CPU,0.16450693991628276,-0.582588,0.131773,0.6968393182194275,0.1649712327090219,0.2393939393939394,0.2003439380911436
Logistic Regression,clean_aggressive_stopwords_lemma,binarized,37338,CPU,0.43462157095027154,33.006845,8.51328,0.7218269071653153,0.4489615324550272,0.48144992837404804,0.4266772925018733
Linear SVC,clean_aggressive_stopwords_lemma,binarized,37338,CPU,0.4075016641819208,6.653609,1.84419,0.6913784544100612,0.4170328618111251,0.4381011005062728,0.4010984816199296
Multinomial NB,clean_aggressive_stopwords_lemma,binarized,37338,CPU,0.2858479381986706,0.04271,0.00518,0.694853549561476,0.29639703894605757,0.512012662390956,0.2928205153674205
Random Forest,clean_aggressive_stopwords_lemma,binarized,37338,CPU,0.16387806965003732,0.999392,0.126639,0.6965083567764355,0.16422161529457666,0.1393016713552871,0.2
Logistic Regression,clean_aggressive_stopwords_lemma,frequency,37338,CPU,0.4349944181971942,33.066542,6.888685,0.7294390203541288,0.44016457484376054,0.47416409198995496,0.41981410309937794
Linear SVC,clean_aggressive_stopwords_lemma,frequency,37338,CPU,0.4127491180767023,6.707705,1.825729,0.6935297037895085,0.4178587846242179,0.445009752914096,0.3986256857652769
Multinomial NB,clean_aggressive_stopwords_lemma,frequency,37338,CPU,0.31058421463082164,0.047328,0.006289,0.6950190302829721,0.32058702906840375,0.4983231993623787,0.31302733206519584
Random Forest,clean_aggressive_stopwords_lemma,frequency,37338,CPU,0.16404017490601483,1.055997,0.146448,0.6963428760549396,0.16488500926815397,0.20600739881839764,0.20020138641616142
Logistic Regression,clean_aggressive_stopwords_lemma,tfidf,37338,CPU,0.3541471031612296,1.753621,0.484499,0.7319212311765679,0.3754610412484246,0.5259478399189191,0.3381158189942927
Linear SVC,clean_aggressive_stopwords_lemma,tfidf,37338,CPU,0.4123385233191931,1.130019,0.294392,0.7276187324176734,0.4310404639775992,0.4944641412222387,0.3968190284255074
Multinomial NB,clean_aggressive_stopwords_lemma,tfidf,37338,CPU,0.16491473595607017,0.046555,0.004853,0.6970047989409234,0.16614040074388572,0.19230621374152515,0.20076481077787087
Random Forest,clean_aggressive_stopwords_lemma,tfidf,37338,CPU,0.16360179642212241,1.131648,0.159063,0.6965083567764355,0.16422161529457666,0.1393016713552871,0.2
Logistic Regression,clean_aggressive_stopwords,tfidf,44478,CPU,0.36856829372005606,2.172082,0.587574,0.7405262286943571,0.3957470842050648,0.5645887489681354,0.35436254737801043
Linear SVC,clean_aggressive_stopwords,tfidf,44478,CPU,0.429878377830262,1.17502,0.313675,0.7383749793149098,0.47132033892347175,0.5549826683275862,0.43201149768350156
Multinomial NB,clean_aggressive_stopwords,tfidf,44478,CPU,0.16471168459080007,0.049201,0.006517,0.6966738374979314,0.1653572140957447,0.18951251865362295,0.20042087268672729
Random Forest,clean_aggressive_stopwords,tfidf,44478,CPU,0.16361156681782346,1.167194,0.159308,0.6965083567764355,0.16423763535264851,0.13932472691161868,0.2
Logistic Regression,clean_aggressive,tfidf,44735,CPU,0.39592042354999263,2.846195,0.723992,0.7521098791990734,0.42041605091725953,0.5637259575223432,0.37946050532405645
Linear SVC,clean_aggressive,tfidf,44735,CPU,0.4399549219466662,1.573534,0.402376,0.743835843124276,0.48428890886192627,0.5676693068520443,0.44628800563003396
Multinomial NB,clean_aggressive,tfidf,44735,CPU,0.16405248892902213,0.059516,0.008044,0.6965083567764355,0.16428571428571428,0.1393939393939394,0.2
Random Forest,clean_aggressive,tfidf,44735,CPU,0.16387657569132505,1.274192,0.180677,0.6965083567764355,0.16423763535264851,0.13932472691161868,0.2
Logistic Regression,clean_basic,binarized,45667,CPU,0.4482779497676165,52.367211,12.14012,0.7218269071653153,0.44762230209137266,0.4810140443518728,0.424651838670236
Linear SVC,clean_basic,binarized,45667,CPU,0.4153512119444792,9.522658,2.603541,0.6991560483203707,0.43160442491661455,0.45715211326656624,0.4131007593251284
Multinomial NB,clean_basic,binarized,45667,CPU,0.2787137391957185,0.069178,0.008962,0.7008108555353302,0.2926567945828652,0.45134772290420555,0.29150839709905324
Random Forest,clean_basic,binarized,45667,CPU,0.1645135582230463,1.201017,0.163928,0.6965083567764355,0.16422161529457666,0.1393016713552871,0.2
Logistic Regression,clean_basic,frequency,45667,CPU,0.4356030769036253,52.714747,14.152049,0.741022670858845,0.4448320145266826,0.498546323613855,0.41593395507556236
Linear SVC,clean_basic,frequency,45667,CPU,0.4254034012716656,10.158096,3.160725,0.7075955651166639,0.44843445952235816,0.47460594920729127,0.4293663299243871
Multinomial NB,clean_basic,frequency,45667,CPU,0.3128332870370382,0.060955,0.008952,0.7094158530531193,0.3364865581180598,0.4888287389229963,0.3353708230769993
Random Forest,clean_basic,frequency,45667,CPU,0.1652954204737221,1.184231,0.173811,0.6965083567764355,0.16493949518839707,0.19653980876644891,0.2002489036411555
Logistic Regression,clean_basic_lemma,binarized,36641,CPU,0.4271922885229705,33.695797,8.740299,0.7246400794307463,0.4515724638257141,0.48345539007996197,0.4293335327399843
Linear SVC,clean_basic_lemma,binarized,36641,CPU,0.39585751395389634,6.814132,1.868187,0.6925368194605328,0.4178365645804411,0.4388999693150291,0.4030997082121107
Multinomial NB,clean_basic_lemma,binarized,36641,CPU,0.2849402056357027,0.047618,0.007366,0.695184511004468,0.29795594582647056,0.5143282677801801,0.294586484447481
Random Forest,clean_basic_lemma,binarized,36641,CPU,0.16407452750137874,1.108236,0.148169,0.6965083567764355,0.16455798178582642,0.23931468299950343,0.20012445182057775
Logistic Regression,clean_basic_lemma,frequency,36641,CPU,0.4405087299072701,33.035842,6.894184,0.7334105576700315,0.4637576166177366,0.4999255842124576,0.44115642457326754
Linear SVC,clean_basic_lemma,frequency,36641,CPU,0.39849749458719214,7.284893,1.991628,0.701472778421314,0.4265784757386329,0.4539896552516966,0.40678338968201866
Multinomial NB,clean_basic_lemma,frequency,36641,CPU,0.31130338390536416,0.044719,0.005975,0.6988250868773788,0.3243645720086069,0.5209852420248688,0.31664399571872165
Random Forest,clean_basic_lemma,frequency,36641,CPU,0.16443133331761,1.074471,0.149267,0.6966738374979314,0.16461273802054405,0.20603752759381896,0.2001719690455718
Logistic Regression,clean_basic_lemma,tfidf,36641,CPU,0.3513374981889613,1.75243,0.453923,0.7332450769485355,0.3825205542030091,0.5536550114988061,0.3438282900670133
Linear SVC,clean_basic_lemma,tfidf,36641,CPU,0.4125840101620037,1.082574,0.27857,0.7305973854046004,0.4431300572158898,0.509980309084473,0.4099686240328914
Multinomial NB,clean_basic_lemma,tfidf,36641,CPU,0.16499014222290465,0.038679,0.004778,0.6970047989409234,0.16614040074388572,0.19230621374152515,0.20076481077787087
Random Forest,clean_basic_lemma,tfidf,36641,CPU,0.16360356353675676,1.107784,0.154361,0.6965083567764355,0.16422161529457666,0.1393016713552871,0.2
Logistic Regression,clean_basic_stopwords,binarized,45487,CPU,0.4464341158734073,40.066219,8.775771,0.7185172927353963,0.43429226090947576,0.46459538795852184,0.41275848308594243
Linear SVC,clean_basic_stopwords,binarized,45487,CPU,0.405466960176998,7.683319,1.92002,0.6965083567764355,0.4353162580191383,0.4651185500206913,0.4143463025288846
Multinomial NB,clean_basic_stopwords,binarized,45487,CPU,0.29612604867702447,0.054313,0.007768,0.7026311434717856,0.3116014275768473,0.510459439064058,0.3071565251576887
Random Forest,clean_basic_stopwords,binarized,45487,CPU,0.16407540088664685,1.216438,0.15143,0.6965083567764355,0.1649086067288655,0.21935077840344483,0.2002489036411555
Logistic Regression,clean_basic_stopwords,frequency,45487,CPU,0.4556665176675363,39.890645,8.985242,0.7355618070494787,0.4828805592664322,0.5273584854427085,0.4528541218642449
Linear SVC,clean_basic_stopwords,frequency,45487,CPU,0.4109836838673103,7.640351,2.034995,0.7027966241932815,0.4464324521283629,0.47512710549835635,0.42592273530788327
Multinomial NB,clean_basic_stopwords,frequency,45487,CPU,0.32243345405139046,0.060454,0.006624,0.7051133542942247,0.33450955419866457,0.5240120012829922,0.3276133948099165
Random Forest,clean_basic_stopwords,frequency,45487,CPU,0.16422878834320306,1.09213,0.153375,0.6970047989409234,0.16563257405107543,0.2993839019542895,0.20064035895729315
Logistic Regression,clean_basic_stopwords,tfidf,45487,CPU,0.36484772211508776,2.167117,0.566643,0.7405262286943571,0.3900947665252776,0.5472798567398293,0.350728778135799
Linear SVC,clean_basic_stopwords,tfidf,45487,CPU,0.42994507215844224,1.171823,0.299213,0.7360582492139666,0.46991201270406135,0.5569679974011954,0.4302261901483851
Multinomial NB,clean_basic_stopwords,tfidf,45487,CPU,0.16443994865393172,0.047098,0.006118,0.6968393182194275,0.16536591967981,0.19949941985745068,0.20046838991172136
Random Forest,clean_basic_stopwords,tfidf,45487,CPU,0.16360579897168712,1.125219,0.165139,0.6965083567764355,0.16422161529457666,0.1393016713552871,0.2
Logistic Regression,clean_basic,tfidf,45667,CPU,0.3959315268986213,2.880696,0.729169,0.753102763528049,0.4265875155083922,0.5775644825118154,0.3839945353524975
Linear SVC,clean_basic,tfidf,45667,CPU,0.4415451432981552,1.665361,0.424357,0.7416845937448288,0.4792783967774758,0.5619066612565098,0.4404440703574668
Multinomial NB,clean_basic,tfidf,45667,CPU,0.16412887393869344,0.055926,0.00784,0.6965083567764355,0.16426968484730217,0.1393708609271523,0.2
Random Forest,clean_basic,tfidf,45667,CPU,0.16370406481191058,1.193006,0.189239,0.6965083567764355,0.16423763535264851,0.13932472691161868,0.2
Logistic Regression,clean_standard,binarized,44735,CPU,0.4478368638809915,52.122449,12.257335,0.7231507529372828,0.4461887324204435,0.4779365894411571,0.4240735388120882
Linear SVC,clean_standard,binarized,44735,CPU,0.4138004790912726,9.897828,2.641237,0.6988250868773788,0.4243782015165328,0.44822983304831343,0.4070822419706085
Multinomial NB,clean_standard,binarized,44735,CPU,0.2795462665229057,0.064443,0.007551,0.6999834519278504,0.29677039354923235,0.4530269669286243,0.2936972389170386
Random Forest,clean_standard,binarized,44735,CPU,0.16415562283381374,1.209246,0.176669,0.6963428760549396,0.1642306566494292,0.13933774834437088,0.19995248277500594
Logistic Regression,clean_standard,frequency,44735,CPU,0.43445563864324904,51.888013,13.764826,0.7418500744663247,0.44985282738800264,0.5054042862062439,0.41975935114680574
Linear SVC,clean_standard,frequency,44735,CPU,0.4275710717794664,10.557655,3.392282,0.707430084395168,0.44781336668845223,0.47453471909445766,0.4286440097495559
Multinomial NB,clean_standard,frequency,44735,CPU,0.31438556772092374,0.061367,0.008628,0.707099122952176,0.3355725531335982,0.482828751464651,0.33475864288964424
Random Forest,clean_standard,frequency,44735,CPU,0.16466875958435917,1.142205,0.1717,0.6971702796624193,0.16600417964986047,0.28228722900691094,0.20081232800286494
Logistic Regression,clean_standard_lemma,binarized,35744,CPU,0.4307519604303181,32.696639,8.457128,0.722654310772795,0.45371737996519823,0.48685069474478093,0.4304164478902873
Linear SVC,clean_standard_lemma,binarized,35744,CPU,0.40031767766862314,6.795663,1.820418,0.6958464338904518,0.42409827967469055,0.4466690155732949,0.4075622158620888
Multinomial NB,clean_standard_lemma,binarized,35744,CPU,0.2836462383789888,0.043212,0.005437,0.6976667218269071,0.3036552538943288,0.5401372741912305,0.2989058997797324
Random Forest,clean_standard_lemma,binarized,35744,CPU,0.16396547825498767,1.075575,0.133996,0.6968393182194275,0.16495579119378587,0.27270419426048564,0.2003439380911436
Logistic Regression,clean_standard_lemma,frequency,35744,CPU,0.4342809056655989,32.388777,6.91972,0.7342379612775112,0.45927937723111556,0.48987137930382174,0.44031822288618316
Linear SVC,clean_standard_lemma,frequency,35744,CPU,0.3998800375090588,7.079985,1.882956,0.6975012411054112,0.4301792480441312,0.4554259542237341,0.4115225683532084
Multinomial NB,clean_standard_lemma,frequency,35744,CPU,0.3119585614868198,0.04363,0.005897,0.6958464338904518,0.3210504261427177,0.4900598669591208,0.3144563754333817
Random Forest,clean_standard_lemma,frequency,35744,CPU,0.16397090898695246,1.052301,0.14441,0.6966738374979314,0.16494764254422611,0.2193839019542895,0.20029642086614957
Logistic Regression,clean_standard_lemma,tfidf,35744,CPU,0.35302475680842493,1.752448,0.435246,0.7348998841634949,0.3914061624382203,0.5585233062564141,0.35008002479385775
Linear SVC,clean_standard_lemma,tfidf,35744,CPU,0.411093400016178,1.119507,0.292119,0.7340724805560153,0.448137070069918,0.5129764257122734,0.41427234171856986
Multinomial NB,clean_standard_lemma,tfidf,35744,CPU,0.1649897271652588,0.04061,0.00486,0.6968393182194275,0.1661159493660847,0.18966461896065084,0.2007172935528768
Random Forest,clean_standard_lemma,tfidf,35744,CPU,0.16360356353675676,1.130238,0.14198,0.6965083567764355,0.16422161529457666,0.1393016713552871,0.2
Logistic Regression,clean_standard_stopwords,binarized,44478,CPU,0.4457913980911988,39.757517,8.82666,0.7180208505709085,0.4343517271282658,0.4646040085026666,0.4129255147969144
Linear SVC,clean_standard_stopwords,binarized,44478,CPU,0.4042626846962808,7.6288,1.968843,0.6958464338904518,0.4320715319061973,0.45878907848593986,0.4128386438423218
Multinomial NB,clean_standard_stopwords,binarized,44478,CPU,0.29551923772536504,0.05173,0.006552,0.7027966241932815,0.3154297008975341,0.48057109069960974,0.30975492214621614
Random Forest,clean_standard_stopwords,binarized,44478,CPU,0.16469210580938687,1.096321,0.154386,0.6966738374979314,0.16458127796433236,0.3393247269116187,0.2001719690455718
Logistic Regression,clean_standard_stopwords,frequency,44478,CPU,0.4551502460708378,40.577198,8.220321,0.7367201720999503,0.4852661256251327,0.5301764739189821,0.4551229818820849
Linear SVC,clean_standard_stopwords,frequency,44478,CPU,0.41555611476412835,7.609919,2.001735,0.7027966241932815,0.45124637903406767,0.4784544872894559,0.4313866220678527
Multinomial NB,clean_standard_stopwords,frequency,44478,CPU,0.3240340314787443,0.052134,0.007426,0.7051133542942247,0.33499972340822454,0.5005130721742915,0.3284131666959447
Random Forest,clean_standard_stopwords,frequency,44478,CPU,0.16450693991628276,1.101983,0.147378,0.6968393182194275,0.1649712327090219,0.2393939393939394,0.2003439380911436
Logistic Regression,clean_standard_stopwords_lemma,binarized,37338,CPU,0.43462157095027154,32.75453,8.575009,0.7218269071653153,0.4489615324550272,0.48144992837404804,0.4266772925018733
Linear SVC,clean_standard_stopwords_lemma,binarized,37338,CPU,0.4075016641819208,4.956137,1.753058,0.6913784544100612,0.4170328618111251,0.4381011005062728,0.4010984816199296
Multinomial NB,clean_standard_stopwords_lemma,binarized,37338,CPU,0.2858479381986706,0.044238,0.006094,0.694853549561476,0.29639703894605757,0.512012662390956,0.2928205153674205
Random Forest,clean_standard_stopwords_lemma,binarized,37338,CPU,0.16387806965003732,1.19053,0.14273,0.6965083567764355,0.16422161529457666,0.1393016713552871,0.2
Logistic Regression,clean_standard_stopwords_lemma,frequency,37338,CPU,0.4349944181971942,32.731843,8.647744,0.7294390203541288,0.44016457484376054,0.47416409198995496,0.41981410309937794
Linear SVC,clean_standard_stopwords_lemma,frequency,37338,CPU,0.4127491180767023,6.928828,1.823603,0.6935297037895085,0.4178587846242179,0.445009752914096,0.3986256857652769
Multinomial NB,clean_standard_stopwords_lemma,frequency,37338,CPU,0.31058421463082164,0.043885,0.00638,0.6950190302829721,0.32058702906840375,0.4983231993623787,0.31302733206519584
Random Forest,clean_standard_stopwords_lemma,frequency,37338,CPU,0.16404017490601483,1.084562,0.146953,0.6963428760549396,0.16488500926815397,0.20600739881839764,0.20020138641616142
Logistic Regression,clean_standard_stopwords_lemma,tfidf,37338,CPU,0.3541471031612296,1.810074,0.519001,0.7319212311765679,0.3754610412484246,0.5259478399189191,0.3381158189942927
Linear SVC,clean_standard_stopwords_lemma,tfidf,37338,CPU,0.4123385233191931,-0.638576,0.282705,0.7276187324176734,0.4310404639775992,0.4944641412222387,0.3968190284255074
Multinomial NB,clean_standard_stopwords_lemma,tfidf,37338,CPU,0.16491473595607017,0.042625,0.005635,0.6970047989409234,0.16614040074388572,0.19230621374152515,0.20076481077787087
Random Forest,clean_standard_stopwords_lemma,tfidf,37338,CPU,0.16360179642212241,1.126865,0.165003,0.6965083567764355,0.16422161529457666,0.1393016713552871,0.2
Logistic Regression,clean_standard_stopwords,tfidf,44478,CPU,0.36856829372005606,2.13559,0.60626,0.7405262286943571,0.3957470842050648,0.5645887489681354,0.35436254737801043
Linear SVC,clean_standard_stopwords,tfidf,44478,CPU,0.429878377830262,1.227715,0.321857,0.7383749793149098,0.47132033892347175,0.5549826683275862,0.43201149768350156
Multinomial NB,clean_standard_stopwords,tfidf,44478,CPU,0.16471168459080007,0.04767,0.006825,0.6966738374979314,0.1653572140957447,0.18951251865362295,0.20042087268672729
Random Forest,clean_standard_stopwords,tfidf,44478,CPU,0.16361156681782346,1.174544,0.166133,0.6965083567764355,0.16423763535264851,0.13932472691161868,0.2
Logistic Regression,clean_standard,tfidf,44735,CPU,0.39592042354999263,2.833382,0.705655,0.7521098791990734,0.42041605091725953,0.5637259575223432,0.37946050532405645
Linear SVC,clean_standard,tfidf,44735,CPU,0.4399549219466662,1.681274,0.464982,0.743835843124276,0.48428890886192627,0.5676693068520443,0.44628800563003396
Multinomial NB,clean_standard,tfidf,44735,CPU,0.16405248892902213,0.060119,0.009035,0.6965083567764355,0.16428571428571428,0.1393939393939394,0.2
Random Forest,clean_standard,tfidf,44735,CPU,0.16387657569132505,1.306585,0.264231,0.6965083567764355,0.16423763535264851,0.13932472691161868,0.2
Logistic Regression,no_accents_clean_standard_stopwords,binarized,42276,CPU,0.44425261288581447,39.678526,8.751247,0.7214959457223233,0.4434946971390829,0.47168214400389025,0.4231909265248731
Linear SVC,no_accents_clean_standard_stopwords,binarized,42276,CPU,0.4086519683669628,7.452528,1.924755,0.6882343207016383,0.42523744056100166,0.45258134560851315,0.4058659655208695
Multinomial NB,no_accents_clean_standard_stopwords,binarized,42276,CPU,0.2941540124791276,0.051699,0.007073,0.6978322025484031,0.31405475415255113,0.48558821612119907,0.3090577864244067
Random Forest,no_accents_clean_standard_stopwords,binarized,42276,CPU,0.1637920913572274,1.113163,0.137341,0.6965083567764355,0.1649086067288655,0.21935077840344483,0.2002489036411555
Logistic Regression,no_accents_clean_standard_stopwords,frequency,42276,CPU,0.4554985664781864,39.887883,8.598072,0.7357272877709747,0.4731650487158502,0.5143724347853255,0.4455243692330987
Linear SVC,no_accents_clean_standard_stopwords,frequency,42276,CPU,0.4150274869367127,7.550417,1.997362,0.7004798940923382,0.45288325419771214,0.48052650419435866,0.4323049220088982
Multinomial NB,no_accents_clean_standard_stopwords,frequency,42276,CPU,0.3193763135156672,0.052992,0.006971,0.704285950686745,0.34710408774833107,0.5211548670397858,0.3367341136727265
Random Forest,no_accents_clean_standard_stopwords,frequency,42276,CPU,0.16419463723298855,1.075035,0.148941,0.6966738374979314,0.16458127796433236,0.3393247269116187,0.2001719690455718
Logistic Regression,no_accents_clean_standard_stopwords,tfidf,42276,CPU,0.37292774695941605,2.148747,0.582195,0.740857190137349,0.3906080065738758,0.5563023907528615,0.35039636193026524
Linear SVC,no_accents_clean_standard_stopwords,tfidf,42276,CPU,0.4352036676959606,1.242819,0.330667,0.7344034419990071,0.470687322794188,0.5591652708000062,0.4307018367743079
Multinomial NB,no_accents_clean_standard_stopwords,tfidf,42276,CPU,0.16471349650421835,0.05213,0.006466,0.6966738374979314,0.16573306947744942,0.18665391148161886,0.200545324507305
Random Forest,no_accents_clean_standard_stopwords,tfidf,42276,CPU,0.16360180109480932,1.158126,0.157212,0.6965083567764355,0.16422161529457666,0.1393016713552871,0.2
Logistic Regression,raw,binarized,45667,CPU,0.4482779497676165,52.0035,13.928186,0.7218269071653153,0.44762230209137266,0.4810140443518728,0.424651838670236
Linear SVC,raw,binarized,45667,CPU,0.4153512119444792,7.999026,2.577565,0.6991560483203707,0.43160442491661455,0.45715211326656624,0.4131007593251284
Multinomial NB,raw,binarized,45667,CPU,0.2787137391957185,0.068425,0.009568,0.7008108555353302,0.2926567945828652,0.45134772290420555,0.29150839709905324
Random Forest,raw,binarized,45667,CPU,0.1645135582230463,1.175973,0.163172,0.6965083567764355,0.16422161529457666,0.1393016713552871,0.2
Logistic Regression,raw,frequency,45667,CPU,0.4356030769036253,53.8667,11.872362,0.741022670858845,0.4448320145266826,0.498546323613855,0.41593395507556236
Linear SVC,raw,frequency,45667,CPU,0.4254034012716656,12.032175,3.295381,0.7075955651166639,0.44843445952235816,0.47460594920729127,0.4293663299243871
Multinomial NB,raw,frequency,45667,CPU,0.3128332870370382,0.067193,0.00908,0.7094158530531193,0.3364865581180598,0.4888287389229963,0.3353708230769993
Random Forest,raw,frequency,45667,CPU,0.1652954204737221,1.191643,0.169773,0.6965083567764355,0.16493949518839707,0.19653980876644891,0.2002489036411555
Logistic Regression,raw,tfidf,45667,CPU,0.3959315268986213,2.909854,0.703251,0.753102763528049,0.4265875155083922,0.5775644825118154,0.3839945353524975
Linear SVC,raw,tfidf,45667,CPU,0.4415451432981552,-0.18926,0.437205,0.7416845937448288,0.4792783967774758,0.5619066612565098,0.4404440703574668
Multinomial NB,raw,tfidf,45667,CPU,0.16412887393869344,0.062771,0.008058,0.6965083567764355,0.16426968484730217,0.1393708609271523,0.2
Random Forest,raw,tfidf,45667,CPU,0.16370406481191058,1.272367,0.190362,0.6965083567764355,0.16423763535264851,0.13932472691161868,0.2
